2015-01-16T08:20:59.027+0800: 65413.742: [GC [PSYoungGen: 576496K->101502K(570368K)] 2482809K->2009285K(3983872K), 0.0585970 secs] [Times: user=0.42 sys=0.00, real=0.06 secs] 
2015-01-16T08:21:20.380+0800: 65435.095: [GC [PSYoungGen: 565374K->101381K(573440K)] 2473157K->2010777K(3986944K), 0.0595840 secs] [Times: user=0.54 sys=0.00, real=0.06 secs] 
2015-01-16T08:21:51.441+0800: 65466.157: [GC [PSYoungGen: 565253K->109556K(567296K)] 2474649K->2019942K(3980800K), 0.0599840 secs] [Times: user=0.54 sys=0.00, real=0.06 secs] 
2015-01-16T08:22:08.757+0800: 65483.472: [GC [PSYoungGen: 567284K->109398K(567296K)] 2477670K->2024890K(3980800K), 0.0597310 secs] [Times: user=0.54 sys=0.00, real=0.06 secs] 
2015-01-16T08:23:28.529+0800: 65563.245: [GC [PSYoungGen: 567126K->102668K(569344K)] 2482618K->2019058K(3982848K), 0.0603860 secs] [Times: user=0.54 sys=0.01, real=0.06 secs] 
2015-01-16T08:27:02.979+0800: 65777.694: [GC [PSYoungGen: 557324K->91127K(568320K)] 2473714K->2008429K(3981824K), 0.0619780 secs] [Times: user=0.55 sys=0.00, real=0.06 secs] 
2015-01-16T08:30:06.890+0800: 65961.606: [GC [PSYoungGen: 545783K->91684K(567808K)] 2463085K->2012773K(3981312K), 0.0649340 secs] [Times: user=0.56 sys=0.00, real=0.06 secs] 
2015-01-16T08:32:25.026+0800: 66099.742: [GC [PSYoungGen: 545316K->103171K(568320K)] 2466405K->2024882K(3981824K), 0.0629320 secs] [Times: user=0.57 sys=0.00, real=0.07 secs] 
2015-01-16T08:34:47.175+0800: 66241.890: [GC [PSYoungGen: 556803K->100592K(569856K)] 2478514K->2022741K(3983360K), 0.0600620 secs] [Times: user=0.31 sys=0.07, real=0.06 secs] 
2015-01-16T08:38:43.221+0800: 66477.937: [GC [PSYoungGen: 556272K->97226K(568832K)] 2478421K->2022887K(3982336K), 0.0657800 secs] [Times: user=0.54 sys=0.02, real=0.06 secs] 
2015-01-16T08:41:01.296+0800: 66616.011: [GC [PSYoungGen: 552906K->100176K(571904K)] 2478567K->2027314K(3985408K), 0.0745900 secs] [Times: user=0.55 sys=0.19, real=0.08 secs] 
2015-01-16T08:43:32.360+0800: 66767.076: [GC [PSYoungGen: 559952K->82367K(542208K)] 2487090K->2013636K(3955712K), 0.0617790 secs] [Times: user=0.53 sys=0.00, real=0.07 secs] 
2015-01-16T08:46:50.791+0800: 66965.506: [GC [PSYoungGen: 542143K->91801K(570368K)] 2473412K->2023573K(3983872K), 0.0759150 secs] [Times: user=0.50 sys=0.11, real=0.07 secs] 
2015-01-16T08:50:43.382+0800: 67198.097: [GC [PSYoungGen: 549017K->90661K(569856K)] 2480789K->2023007K(3983360K), 0.0687420 secs] [Times: user=0.42 sys=0.02, real=0.07 secs] 
2015-01-16T08:53:27.980+0800: 67362.696: [GC [PSYoungGen: 547877K->96406K(571904K)] 2480223K->2029335K(3985408K), 0.0681790 secs] [Times: user=0.48 sys=0.06, real=0.07 secs] 
2015-01-16T08:57:00.952+0800: 67575.668: [GC [PSYoungGen: 556182K->94978K(570880K)] 2489111K->2028534K(3984384K), 0.0646780 secs] [Times: user=0.50 sys=0.00, real=0.06 secs] 
2015-01-16T08:59:11.908+0800: 67706.624: [GC [PSYoungGen: 554754K->96330K(574464K)] 2488310K->2030455K(3987968K), 0.0596040 secs] [Times: user=0.38 sys=0.00, real=0.06 secs] 
2015-01-16T09:01:34.533+0800: 67849.249: [GC [PSYoungGen: 560714K->93591K(572928K)] 2494839K->2028229K(3986432K), 0.0679820 secs] [Times: user=0.54 sys=0.01, real=0.07 secs] 
2015-01-16T09:04:16.692+0800: 68011.408: [GC [PSYoungGen: 557975K->103798K(571904K)] 2492613K->2039010K(3985408K), 0.0715680 secs] [Times: user=0.54 sys=0.00, real=0.07 secs] 
2015-01-16T09:07:11.069+0800: 68185.785: [GC [PSYoungGen: 567670K->88954K(573440K)] 2502882K->2024886K(3986944K), 0.0658820 secs] [Times: user=0.55 sys=0.00, real=0.07 secs] 
